"","PD","SR","cellid"
"9513",214.4669065753,1,"9513"
"9514",214.4669065753,1,"9514"
"9515",214.4669065753,1,"9515"
"9516",214.4669065753,1,"9516"
"9517",214.4669065753,1,"9517"
"9518",214.4669065753,1,"9518"
"9519",214.4669065753,1,"9519"
"9520",214.4669065753,1,"9520"
"9521",428.9338141426,2,"9521"
"9522",214.4669065753,1,"9522"
"9523",214.4669065753,1,"9523"
"9524",214.4669065753,1,"9524"
"9525",214.4669065753,1,"9525"
"9526",214.4669065753,1,"9526"
"9527",214.4669065753,1,"9527"
"9528",2178.60425515838,19,"9528"
"9539",3189.43227003958,33,"9539"
"9540",214.4669065753,1,"9540"
"9541",214.4669065753,1,"9541"
"9542",214.4669065753,1,"9542"
"9543",693.7618926025,5,"9543"
"9544",214.4669065753,1,"9544"
"9545",214.4669065753,1,"9545"
"9546",214.4669065753,1,"9546"
"9581",439.13813983488,3,"9581"
"9582",214.4669065753,1,"9582"
"9583",214.4669065753,1,"9583"
"9584",214.4669065753,1,"9584"
"9585",214.4669065753,1,"9585"
"9586",214.4669065753,1,"9586"
"9587",214.4669065753,1,"9587"
"9588",214.4669065753,1,"9588"
"9589",214.4669065753,1,"9589"
"9590",323.3194466453,2,"9590"
"9591",214.4669065753,1,"9591"
"9592",214.4669065753,1,"9592"
"9593",214.4669065753,1,"9593"
"9594",214.4669065753,1,"9594"
"9595",214.4669065753,1,"9595"
"9600",214.466907591,1,"9600"
"9610",1172.01944646497,10,"9610"
"9612",272.704293586,3,"9612"
"9613",278.546344437,4,"9613"
"9614",278.546344437,4,"9614"
"9615",214.466907579,1,"9615"
"9616",2416.5368380176,26,"9616"
"9617",214.4669065753,1,"9617"
"9633",1448.34319308282,17,"9633"
"9638",3054.64682216943,34,"9638"
"9639",217.2961496253,2,"9639"
"9640",214.4669065753,1,"9640"
"9641",214.4669065753,1,"9641"
"9642",214.4669065753,1,"9642"
"9643",214.4669065753,1,"9643"
"9644",214.4669065753,1,"9644"
"9645",214.4669065753,1,"9645"
"9646",214.4669065753,1,"9646"
"9647",214.4669065753,1,"9647"
"9648",214.4669065753,1,"9648"
"9649",214.4669065753,1,"9649"
