"","PD","SR","cellid"
"6068",281.82917092,1,"6068"
"6069",281.82917092,1,"6069"
"6070",281.82917092,1,"6070"
"6071",281.82917092,1,"6071"
"6072",664.53690231,3,"6072"
"6073",1509.04608134,8,"6073"
"6074",1337.47900298,7,"6074"
"6075",580.560261966,4,"6075"
"6076",348.401983126,2,"6076"
"6077",281.82917092,1,"6077"
"6078",281.82917092,1,"6078"
"6079",281.82917092,1,"6079"
"6080",281.82917092,1,"6080"
"6081",281.82917092,1,"6081"
"6082",281.82917092,1,"6082"
"6083",281.82917092,1,"6083"
"6084",281.82917092,1,"6084"
"6085",281.82917092,1,"6085"
"6086",281.82917092,1,"6086"
"6087",281.82917092,1,"6087"
"6088",281.82917092,1,"6088"
"6113",281.82917092,1,"6113"
"6114",281.82917092,1,"6114"
"6115",281.82917092,1,"6115"
"6116",281.82917092,1,"6116"
"6117",281.82917092,1,"6117"
"6118",281.82917092,1,"6118"
"6119",281.82917092,1,"6119"
"6120",281.82917092,1,"6120"
"6121",281.82917092,1,"6121"
"6122",281.82917092,1,"6122"
"6123",281.82917092,1,"6123"
"6124",281.82917092,1,"6124"
"6125",281.82917092,1,"6125"
"6126",281.82917092,1,"6126"
"6127",281.82917092,1,"6127"
"6128",281.82917092,1,"6128"
"6129",281.82917092,1,"6129"
"6130",281.82917092,1,"6130"
"6131",281.82917092,1,"6131"
"6132",281.82917092,1,"6132"
"6133",563.65834185,2,"6133"
"6134",771.43277248,3,"6134"
"6135",838.005584686,4,"6135"
"6136",838.005584686,4,"6136"
"6137",838.005584686,4,"6137"
"6138",838.005584686,4,"6138"
"6139",771.43277248,3,"6139"
"6140",489.60360155,2,"6140"
"6175",489.60360155,2,"6175"
"6176",489.60360155,2,"6176"
"6177",281.82917092,1,"6177"
"6178",281.82917092,1,"6178"
"6179",281.82917092,1,"6179"
"6180",281.82917092,1,"6180"
"6181",281.82917092,1,"6181"
"6182",281.82917092,1,"6182"
"6183",281.82917092,1,"6183"
"6184",281.82917092,1,"6184"
"6185",281.82917092,1,"6185"
"6186",281.82917092,1,"6186"
"6187",281.82917092,1,"6187"
"6188",281.82917092,1,"6188"
"6189",281.82917092,1,"6189"
"6190",281.82917092,1,"6190"
"6191",281.82917092,1,"6191"
"6192",281.82917092,1,"6192"
"6193",281.82917092,1,"6193"
"6194",281.82917092,1,"6194"
"6195",281.82917092,1,"6195"
"6196",281.82917092,1,"6196"
"6197",281.82917092,1,"6197"
"6198",281.82917092,1,"6198"
"6199",281.82917092,1,"6199"
"6200",281.82917092,1,"6200"
"6201",281.82917092,1,"6201"
"6202",281.82917092,1,"6202"
"6203",563.65834184,2,"6203"
"6204",1693.6591680429,9,"6204"
"6205",1509.04608134,8,"6205"
"6206",1513.6569979803,8,"6206"
"6207",580.560261966,4,"6207"
"6208",413.10888926,2,"6208"
"6209",281.82917092,1,"6209"
"6210",281.82917092,1,"6210"
"6211",281.82917092,1,"6211"
"6212",281.82917092,1,"6212"
"6213",281.82917092,1,"6213"
"6214",281.82917092,1,"6214"
"6215",281.82917092,1,"6215"
"6216",281.82917092,1,"6216"
"6217",281.82917092,1,"6217"
"6218",281.82917092,1,"6218"
"6219",281.82917092,1,"6219"
"6220",281.82917092,1,"6220"
"6244",281.82917092,1,"6244"
"6245",281.82917092,1,"6245"
"6246",281.82917092,1,"6246"
"6247",281.82917092,1,"6247"
"6248",281.82917092,1,"6248"
"6249",281.82917092,1,"6249"
"6250",281.82917092,1,"6250"
"6251",281.82917092,1,"6251"
"6252",281.82917092,1,"6252"
"6253",281.82917092,1,"6253"
"6254",281.82917092,1,"6254"
"6255",281.82917092,1,"6255"
"6256",281.82917092,1,"6256"
"6257",281.82917092,1,"6257"
"6258",281.82917092,1,"6258"
"6259",281.82917092,1,"6259"
"6260",281.82917092,1,"6260"
"6261",281.82917092,1,"6261"
"6262",281.82917092,1,"6262"
"6263",563.65834185,2,"6263"
"6264",771.43277248,3,"6264"
"6265",838.005584686,4,"6265"
"6266",1014.1835796863,5,"6266"
"6267",838.005584686,4,"6267"
"6268",1185.7506580533,6,"6268"
"6269",838.005584686,4,"6269"
"6270",838.005584686,4,"6270"
"6271",771.43277248,3,"6271"
"6306",771.43277248,3,"6306"
"6307",771.43277248,3,"6307"
"6308",489.60360155,2,"6308"
"6309",281.82917092,1,"6309"
"6310",281.82917092,1,"6310"
"6311",281.82917092,1,"6311"
"6312",281.82917092,1,"6312"
"6313",281.82917092,1,"6313"
"6314",281.82917092,1,"6314"
"6315",281.82917092,1,"6315"
"6316",281.82917092,1,"6316"
"6317",281.82917092,1,"6317"
"6318",281.82917092,1,"6318"
"6319",281.82917092,1,"6319"
"6320",281.82917092,1,"6320"
"6321",281.82917092,1,"6321"
"6322",281.82917092,1,"6322"
"6323",281.82917092,1,"6323"
"6324",281.82917092,1,"6324"
"6325",281.82917092,1,"6325"
"6326",281.82917092,1,"6326"
"6327",281.82917092,1,"6327"
"6328",281.82917092,1,"6328"
"6329",281.82917092,1,"6329"
"6330",281.82917092,1,"6330"
"6331",281.82917092,1,"6331"
"6332",281.82917092,1,"6332"
"6333",413.10888926,2,"6333"
"6334",1685.2240753583,9,"6334"
"6335",1869.8371620612,10,"6335"
"6336",1991.0009910222,11,"6336"
"6337",1819.4339126622,10,"6337"
"6338",862.389432856,5,"6338"
"6339",413.10888926,2,"6339"
"6340",281.82917092,1,"6340"
"6341",281.82917092,1,"6341"
